Year,CommonName,MigrationType,AnnualCount
2007,Ruby-crowned Kinglet,Short distance migrant,6
2007,Blue-gray Gnatcatcher,Short distance migrant,7
2007,Gray-cheeked Thrush,Long distance migrant,7
2007,Hermit Thrush,Short distance migrant,7
2007,Swainson's Thrush,Long distance migrant,52
2007,Wood Thrush,Long distance migrant,16
2007,Bay-breasted Warbler,Long distance migrant,0
2007,Black-and-white Warbler,Short distance migrant,1
2007,Blackburnian Warbler,Long distance migrant,0
2007,Blackpoll Warbler,Long distance migrant,1
2007,Black-throated Blue Warbler,Long distance migrant,1
2007,Black-throated Green Warbler,Long distance migrant,1
2007,Blue-winged Warbler,Long distance migrant,0
2007,Canada Warbler,Long distance migrant,4
2007,Cape May Warbler,Long distance migrant,0
2007,Cerulean Warbler,Long distance migrant,0
2007,Yellow-breasted Chat,Long distance migrant,1
2007,Chestnut-sided Warbler,Long distance migrant,2
2007,Connecticut Warbler,Long distance migrant,0
2007,Golden-winged Warbler,Long distance migrant,0
2007,Hooded Warbler,Long distance migrant,1
2007,Kentucky Warbler,Long distance migrant,3
2007,Magnolia Warbler,Long distance migrant,20
2007,Mourning Warbler,Long distance migrant,3
2007,Nashville Warbler,Long distance migrant,3
2007,Orange-crowned Warbler,Long distance migrant,0
2007,Ovenbird,Long distance migrant,15
2007,Western Palm Warbler,Long distance migrant,5
2007,Northern Parula,Long distance migrant,0
2007,Pine Warbler,Short distance migrant,0
2007,Prairie Warbler,Long distance migrant,7
2007,Prothonotary Warbler,Short distance migrant,1
2007,American Redstart,Long distance migrant,4
2007,Tennessee Warbler,Long distance migrant,6
2007,Wilson's Warbler,Long distance migrant,2
2007,Worm-eating Warbler,Long distance migrant,0
2007,Myrtle Warbler,Short distance migrant,28
2007,Yellow-throated Warbler,Short distance migrant,0
2007,Common Yellowthroat,Short distance migrant,10
2007,Scarlet Tanager,Long distance migrant,1
2007,Summer Tanager,Long distance migrant,0
2007,Eastern Towhee,Short distance migrant,5
2007,Chipping Sparrow,Short distance migrant,2
2007,Field Sparrow,Short distance migrant,8
2007,Savannah Sparrow,Short distance migrant,0
2007,Northern Cardinal,Resident,69
2007,White-crowned Sparrow,Short distance migrant,0
2007,White-throated Sparrow,Short distance migrant,62
2007,Slate-colored Junco,Short distance migrant,0
2007,Baltimore Oriole,Long distance migrant,16
2007,Orchard Oriole,Long distance migrant,21
2008,Red-bellied Woodpecker,Resident,2
2008,Downy Woodpecker,Resident,10
2008,Hairy Woodpecker,Resident,4
2008,Yellow-shafted Flicker,Resident,3
